epoch,train_loss,train_accuracy,train_error,test_loss,test_accuracy,test_error
1,2.417945,0.185050,0.814950,1.788111,0.331000,0.669000
2,1.912026,0.329600,0.670400,1.567540,0.430500,0.569500
3,1.818065,0.379150,0.620850,1.466723,0.455500,0.544500
4,1.735007,0.418650,0.581350,1.471344,0.454000,0.546000
5,1.664642,0.458350,0.541650,1.344003,0.554750,0.445250
6,1.582723,0.497750,0.502250,1.256374,0.574000,0.426000
7,1.544729,0.512850,0.487150,1.152536,0.622750,0.377250
8,1.482436,0.541550,0.458450,1.080435,0.652000,0.348000
9,1.436205,0.561650,0.438350,1.060796,0.657000,0.343000
10,1.372222,0.587500,0.412500,1.110589,0.624500,0.375500
