epoch,train_loss,train_accuracy,train_error,test_loss,test_accuracy,test_error
1,2.624186,0.156150,0.843850,1.867241,0.349750,0.650250
2,2.068785,0.268450,0.731550,1.698208,0.379500,0.620500
3,1.969036,0.329650,0.670350,1.571743,0.439750,0.560250
4,1.903695,0.361850,0.638150,1.603898,0.438750,0.561250
5,1.853880,0.392050,0.607950,1.411192,0.520750,0.479250
6,1.800046,0.420200,0.579800,1.357854,0.552500,0.447500
7,1.745402,0.443600,0.556400,1.352962,0.554250,0.445750
8,1.711643,0.463950,0.536050,1.247839,0.598750,0.401250
9,1.678664,0.476300,0.523700,1.229331,0.589000,0.411000
10,1.635474,0.491950,0.508050,1.179923,0.624500,0.375500
