epoch,train_loss,train_accuracy,train_error,test_loss,test_accuracy,test_error
1,2.649554,0.114350,0.885650,2.124177,0.217500,0.782500
2,2.296141,0.156950,0.843050,2.000394,0.318000,0.682000
3,2.259308,0.180350,0.819650,1.920492,0.379250,0.620750
4,2.231390,0.207950,0.792050,1.897698,0.360500,0.639500
5,2.210886,0.218700,0.781300,1.829354,0.387250,0.612750
6,2.188802,0.235750,0.764250,1.866027,0.362250,0.637750
7,2.171983,0.247950,0.752050,1.770478,0.440500,0.559500
8,2.152643,0.260950,0.739050,1.676922,0.487000,0.513000
9,2.127890,0.274300,0.725700,1.603154,0.511750,0.488250
10,2.109328,0.283650,0.716350,1.613365,0.544250,0.455750
