epoch,train_loss,train_accuracy,train_error,test_loss,test_accuracy,test_error
1,2.607227,0.129250,0.870750,2.095286,0.182750,0.817250
2,2.244499,0.192450,0.807550,1.898880,0.320000,0.680000
3,2.179073,0.231250,0.768750,1.767364,0.415500,0.584500
4,2.146268,0.254700,0.745300,1.704261,0.449750,0.550250
5,2.111301,0.282450,0.717550,1.666968,0.461250,0.538750
6,2.091735,0.291300,0.708700,1.578859,0.502500,0.497500
7,2.061262,0.310000,0.690000,1.522262,0.544000,0.456000
8,2.033265,0.325650,0.674350,1.504945,0.529750,0.470250
9,2.007181,0.338950,0.661050,1.453721,0.555250,0.444750
10,1.969687,0.360300,0.639700,1.440338,0.560000,0.440000
