epoch,train_loss,train_accuracy,train_error,test_loss,test_accuracy,test_error
1,2.660897,0.100900,0.899100,2.308326,0.162250,0.837750
2,2.361959,0.107550,0.892450,2.207032,0.151750,0.848250
3,2.340216,0.114700,0.885300,2.223125,0.154750,0.845250
4,2.332132,0.118250,0.881750,2.160610,0.203500,0.796500
5,2.317787,0.130350,0.869650,2.174345,0.207250,0.792750
6,2.316833,0.130200,0.869800,2.125206,0.278750,0.721250
7,2.310892,0.136650,0.863350,2.102664,0.221500,0.778500
8,2.309192,0.143500,0.856500,2.065995,0.346250,0.653750
9,2.284532,0.153150,0.846850,2.069540,0.354750,0.645250
10,2.279417,0.162750,0.837250,2.067746,0.312750,0.687250
