epoch,train_loss,train_accuracy,train_error,test_loss,test_accuracy,test_error
1,2.291514,0.235300,0.764700,1.756895,0.342750,0.657250
2,1.600185,0.410200,0.589800,1.442283,0.459250,0.540750
3,1.379364,0.496300,0.503700,1.390888,0.491000,0.509000
4,1.252090,0.552050,0.447950,1.187360,0.570750,0.429250
5,1.124113,0.598700,0.401300,1.081477,0.608750,0.391250
6,1.021364,0.637350,0.362650,1.045170,0.621250,0.378750
7,0.955432,0.661850,0.338150,1.124477,0.607250,0.392750
8,0.896535,0.681050,0.318950,0.926787,0.674000,0.326000
9,0.818554,0.709250,0.290750,0.940626,0.678500,0.321500
10,0.746979,0.738800,0.261200,0.894201,0.693000,0.307000
11,0.690808,0.756000,0.244000,0.870985,0.699250,0.300750
12,0.642892,0.770300,0.229700,0.897398,0.689250,0.310750
13,0.589937,0.788300,0.211700,0.815859,0.718500,0.281500
14,0.528020,0.815750,0.184250,0.855910,0.717500,0.282500
15,0.484113,0.827050,0.172950,0.855065,0.724500,0.275500
16,0.429559,0.847800,0.152200,0.785149,0.750000,0.250000
17,0.381275,0.862400,0.137600,0.913909,0.727250,0.272750
18,0.381101,0.863150,0.136850,0.837232,0.734250,0.265750
19,0.311936,0.889250,0.110750,0.914657,0.732250,0.267750
20,0.279996,0.902300,0.097700,0.835346,0.753000,0.247000
21,0.224549,0.922000,0.078000,0.964480,0.739500,0.260500
22,0.219643,0.922200,0.077800,1.017399,0.721750,0.278250
23,0.184715,0.934950,0.065050,0.919084,0.743750,0.256250
24,0.152303,0.946900,0.053100,0.957422,0.752250,0.247750
25,0.146832,0.949700,0.050300,0.989377,0.751000,0.249000
26,0.136946,0.951500,0.048500,0.999754,0.755500,0.244500
27,0.125863,0.955400,0.044600,1.029637,0.757250,0.242750
28,0.107267,0.962900,0.037100,1.082311,0.747000,0.253000
29,0.103018,0.963600,0.036400,1.057792,0.756250,0.243750
30,0.080936,0.972200,0.027800,1.128131,0.754000,0.246000
31,0.089409,0.968650,0.031350,1.112694,0.754250,0.245750
32,0.065313,0.977800,0.022200,1.134865,0.751750,0.248250
33,0.068226,0.976900,0.023100,1.142238,0.756750,0.243250
34,0.064235,0.977900,0.022100,1.206921,0.752000,0.248000
35,0.059793,0.979600,0.020400,1.167389,0.759250,0.240750
36,0.047741,0.984200,0.015800,1.180422,0.754750,0.245250
37,0.047935,0.983650,0.016350,1.209855,0.766250,0.233750
38,0.077209,0.973050,0.026950,1.174996,0.760750,0.239250
39,0.045548,0.985300,0.014700,1.272972,0.749750,0.250250
40,0.060159,0.979400,0.020600,1.227021,0.761750,0.238250
41,0.051906,0.982050,0.017950,1.234708,0.761000,0.239000
42,0.060854,0.979100,0.020900,1.207514,0.763250,0.236750
43,0.046290,0.983200,0.016800,1.221040,0.763000,0.237000
44,0.040891,0.985150,0.014850,1.311637,0.760500,0.239500
45,0.062511,0.977750,0.022250,1.236012,0.763000,0.237000
46,0.034250,0.988000,0.012000,1.286451,0.750250,0.249750
47,0.033431,0.988400,0.011600,1.211655,0.767750,0.232250
48,0.032975,0.988150,0.011850,1.289346,0.757250,0.242750
49,0.032205,0.989200,0.010800,1.342284,0.754250,0.245750
50,0.026528,0.990650,0.009350,1.379737,0.754750,0.245250
51,0.033333,0.988500,0.011500,1.363188,0.757500,0.242500
52,0.040437,0.986050,0.013950,1.353654,0.757000,0.243000
53,0.048092,0.983150,0.016850,1.330764,0.750000,0.250000
54,0.039473,0.985550,0.014450,1.380164,0.755500,0.244500
55,0.034830,0.988500,0.011500,1.293190,0.757500,0.242500
56,0.032608,0.988300,0.011700,1.384287,0.757500,0.242500
57,0.040545,0.985550,0.014450,1.484340,0.741750,0.258250
58,0.050853,0.982800,0.017200,1.369295,0.757750,0.242250
59,0.037361,0.987000,0.013000,1.362926,0.764000,0.236000
60,0.034503,0.988050,0.011950,1.373484,0.759000,0.241000
61,0.023343,0.992200,0.007800,1.383350,0.761500,0.238500
62,0.029168,0.990050,0.009950,1.411062,0.759250,0.240750
63,0.031044,0.989000,0.011000,1.493657,0.756250,0.243750
64,0.050389,0.982850,0.017150,1.547489,0.738500,0.261500
65,0.044526,0.985350,0.014650,1.520015,0.749500,0.250500
66,0.033952,0.988500,0.011500,1.475852,0.757750,0.242250
67,0.024799,0.991000,0.009000,1.457060,0.756250,0.243750
68,0.057224,0.981700,0.018300,1.453624,0.744000,0.256000
69,0.042249,0.986200,0.013800,1.422636,0.756250,0.243750
70,0.024040,0.991800,0.008200,1.432534,0.756500,0.243500
71,0.045989,0.984950,0.015050,1.438001,0.761250,0.238750
72,0.029290,0.989900,0.010100,1.463480,0.763750,0.236250
73,0.028543,0.990400,0.009600,1.453541,0.759250,0.240750
74,0.019057,0.993400,0.006600,1.394719,0.767500,0.232500
75,0.049264,0.983250,0.016750,1.470232,0.752750,0.247250
76,0.030506,0.989500,0.010500,1.581040,0.760000,0.240000
77,0.024202,0.991850,0.008150,1.523003,0.753750,0.246250
78,0.033097,0.988150,0.011850,1.423670,0.769500,0.230500
79,0.024415,0.991100,0.008900,1.588757,0.753250,0.246750
80,0.022718,0.992100,0.007900,1.481657,0.761250,0.238750
81,0.019232,0.993250,0.006750,1.514768,0.766500,0.233500
82,0.015201,0.994950,0.005050,1.490763,0.762250,0.237750
83,0.013901,0.995200,0.004800,1.504565,0.764000,0.236000
