epoch,train_loss,train_accuracy,train_error,test_loss,test_accuracy,test_error
54,0.061899,0.980250,0.019750,1.747336,0.660000,0.340000
55,0.063138,0.978200,0.021800,1.752261,0.664500,0.335500
56,0.058807,0.980350,0.019650,1.742454,0.664000,0.336000
57,0.058154,0.980550,0.019450,1.737524,0.663000,0.337000
58,0.070129,0.976600,0.023400,1.836586,0.655000,0.345000
59,0.050251,0.982550,0.017450,1.773761,0.664250,0.335750
60,0.053229,0.982750,0.017250,1.801269,0.657250,0.342750
61,0.057417,0.981450,0.018550,1.798371,0.659250,0.340750
62,0.062711,0.980350,0.019650,1.712912,0.669000,0.331000
63,0.074431,0.975300,0.024700,1.727445,0.660500,0.339500
64,0.060234,0.979500,0.020500,1.776086,0.667000,0.333000
65,0.041269,0.985750,0.014250,1.746260,0.657000,0.343000
66,0.054741,0.981150,0.018850,1.911589,0.657500,0.342500
67,0.046360,0.983750,0.016250,1.946300,0.656250,0.343750
68,0.078648,0.974700,0.025300,1.863861,0.665250,0.334750
69,0.049041,0.982400,0.017600,1.910331,0.662750,0.337250
70,0.050039,0.983300,0.016700,1.928172,0.658250,0.341750
71,0.043191,0.986000,0.014000,1.904916,0.667250,0.332750
72,0.060494,0.980200,0.019800,1.819094,0.673000,0.327000
73,0.045248,0.984600,0.015400,1.823787,0.668250,0.331750
74,0.044768,0.986200,0.013800,1.852233,0.670250,0.329750
75,0.039846,0.986400,0.013600,1.933566,0.653000,0.347000
76,0.040675,0.986400,0.013600,1.861767,0.666500,0.333500
77,0.038112,0.987100,0.012900,1.962905,0.672250,0.327750
78,0.052482,0.982250,0.017750,1.924745,0.671750,0.328250
79,0.042775,0.985650,0.014350,1.874028,0.668250,0.331750
80,0.041245,0.985850,0.014150,1.994427,0.659250,0.340750
81,0.034767,0.987750,0.012250,1.999324,0.664500,0.335500
82,0.041593,0.985850,0.014150,2.038335,0.663000,0.337000
83,0.058285,0.980800,0.019200,1.982911,0.659000,0.341000
84,0.052128,0.982350,0.017650,1.945977,0.670750,0.329250
85,0.038606,0.987450,0.012550,1.892130,0.674250,0.325750
86,0.038150,0.986950,0.013050,1.992160,0.662500,0.337500
87,0.041596,0.985950,0.014050,1.960104,0.673500,0.326500
88,0.031465,0.989600,0.010400,1.962024,0.669000,0.331000
89,0.035114,0.988600,0.011400,2.160363,0.651750,0.348250
90,0.037246,0.987700,0.012300,2.006481,0.665250,0.334750
91,0.032338,0.988950,0.011050,2.089291,0.661750,0.338250
92,0.038847,0.987300,0.012700,2.103949,0.659500,0.340500
93,0.044534,0.987200,0.012800,1.959132,0.662000,0.338000
94,0.038989,0.987400,0.012600,2.059035,0.650250,0.349750
95,0.055000,0.982250,0.017750,2.073773,0.669750,0.330250
96,0.048177,0.983650,0.016350,1.972933,0.670250,0.329750
97,0.037415,0.986300,0.013700,2.139218,0.658500,0.341500
98,0.035041,0.988250,0.011750,2.055536,0.661000,0.339000
99,0.028521,0.990650,0.009350,2.114560,0.658500,0.341500
100,0.033418,0.988500,0.011500,2.127089,0.665000,0.335000
