epoch,train_loss,train_accuracy,train_error,test_loss,test_accuracy,test_error
1,2.447407,0.186700,0.813300,1.798319,0.324000,0.676000
2,1.930343,0.322850,0.677150,1.580389,0.441750,0.558250
3,1.822647,0.376300,0.623700,1.551118,0.413750,0.586250
4,1.746313,0.418350,0.581650,1.342600,0.530750,0.469250
5,1.659536,0.455800,0.544200,1.279589,0.556500,0.443500
6,1.601467,0.487850,0.512150,1.254368,0.568250,0.431750
7,1.556454,0.507050,0.492950,1.232897,0.576750,0.423250
8,1.500410,0.537750,0.462250,1.150743,0.620500,0.379500
9,1.447975,0.555700,0.444300,1.119437,0.629750,0.370250
10,1.403950,0.572500,0.427500,1.099557,0.636500,0.363500
11,1.353855,0.589300,0.410700,1.038592,0.663250,0.336750
12,1.312106,0.603750,0.396250,1.038154,0.659000,0.341000
13,1.253339,0.628900,0.371100,0.988836,0.679000,0.321000
14,1.203562,0.644300,0.355700,0.948652,0.692750,0.307250
15,1.153417,0.654650,0.345350,1.064483,0.655500,0.344500
16,1.095656,0.675650,0.324350,1.037954,0.666750,0.333250
17,1.031304,0.692850,0.307150,0.971558,0.685000,0.315000
18,0.974052,0.704500,0.295500,0.990586,0.679000,0.321000
19,0.895828,0.732500,0.267500,0.991293,0.681000,0.319000
20,0.823979,0.747600,0.252400,1.011268,0.673000,0.327000
21,0.744460,0.770550,0.229450,1.059914,0.665500,0.334500
22,0.666770,0.791350,0.208650,1.110370,0.662750,0.337250
23,0.593674,0.813000,0.187000,1.114422,0.656250,0.343750
24,0.501656,0.839600,0.160400,1.153829,0.653750,0.346250
25,0.456229,0.853100,0.146900,1.150972,0.660000,0.340000
26,0.397123,0.869100,0.130900,1.265084,0.648500,0.351500
27,0.346776,0.887850,0.112150,1.247759,0.656000,0.344000
28,0.292660,0.906200,0.093800,1.275346,0.668250,0.331750
29,0.247059,0.918550,0.081450,1.357322,0.651250,0.348750
30,0.202748,0.932600,0.067400,1.415171,0.647000,0.353000
31,0.192000,0.936700,0.063300,1.419757,0.656000,0.344000
32,0.196879,0.932600,0.067400,1.433860,0.654750,0.345250
33,0.157068,0.948700,0.051300,1.437965,0.663500,0.336500
34,0.163392,0.945800,0.054200,1.450176,0.661000,0.339000
35,0.132105,0.956950,0.043050,1.424272,0.665250,0.334750
36,0.115187,0.963200,0.036800,1.547154,0.650000,0.350000
37,0.115716,0.962200,0.037800,1.515368,0.650000,0.350000
38,0.086536,0.973400,0.026600,1.533726,0.665500,0.334500
39,0.096798,0.967750,0.032250,1.582569,0.661250,0.338750
40,0.095682,0.967600,0.032400,1.575310,0.656750,0.343250
41,0.091113,0.969500,0.030500,1.572377,0.664250,0.335750
42,0.082238,0.972800,0.027200,1.622375,0.663000,0.337000
43,0.085405,0.971000,0.029000,1.643948,0.653000,0.347000
44,0.067663,0.977450,0.022550,1.669885,0.661250,0.338750
45,0.082418,0.971700,0.028300,1.633266,0.665000,0.335000
46,0.074900,0.975200,0.024800,1.695024,0.659750,0.340250
47,0.076453,0.973100,0.026900,1.758914,0.652250,0.347750
48,0.066314,0.977950,0.022050,1.735497,0.656750,0.343250
49,0.072614,0.976050,0.023950,1.712165,0.658250,0.341750
50,0.072420,0.975000,0.025000,1.713993,0.660250,0.339750
51,0.067085,0.977350,0.022650,1.686128,0.669000,0.331000
52,0.064377,0.978300,0.021700,1.718963,0.668500,0.331500
53,0.058355,0.980750,0.019250,1.703024,0.662500,0.337500
