epoch,train_loss,train_accuracy,train_error,test_loss,test_accuracy,test_error
1,2.652788,0.104800,0.895200,2.202178,0.162000,0.838000
2,2.337437,0.129650,0.870350,2.113494,0.277750,0.722250
3,2.304852,0.148300,0.851700,2.090031,0.302000,0.698000
4,2.303025,0.157600,0.842400,2.047510,0.286500,0.713500
5,2.285925,0.164450,0.835550,2.008367,0.310000,0.690000
6,2.265690,0.181200,0.818800,1.919163,0.409000,0.591000
7,2.257753,0.187000,0.813000,1.952051,0.372000,0.628000
8,2.239444,0.194350,0.805650,1.874632,0.424500,0.575500
9,2.232322,0.206200,0.793800,1.815063,0.437000,0.563000
10,2.210797,0.216900,0.783100,1.819044,0.446250,0.553750
