epoch,train_loss,train_accuracy,train_error,test_loss,test_accuracy,test_error
1,2.670494,0.096750,0.903250,2.251150,0.130750,0.869250
2,2.362389,0.112200,0.887800,2.293532,0.103000,0.897000
3,2.343232,0.112250,0.887750,2.230280,0.162750,0.837250
4,2.327583,0.120850,0.879150,2.181989,0.172250,0.827750
5,2.326665,0.124950,0.875050,2.158151,0.220500,0.779500
6,2.311986,0.131900,0.868100,2.141649,0.226750,0.773250
7,2.313969,0.133350,0.866650,2.118148,0.225750,0.774250
8,2.309887,0.138450,0.861550,2.086791,0.295750,0.704250
9,2.292091,0.146750,0.853250,2.058517,0.314750,0.685250
10,2.286372,0.152300,0.847700,2.036086,0.343750,0.656250
11,2.280452,0.156900,0.843100,1.993449,0.379250,0.620750
12,2.269132,0.163150,0.836850,1.994339,0.396750,0.603250
13,2.263534,0.169950,0.830050,2.000688,0.367500,0.632500
14,2.246905,0.181700,0.818300,1.990727,0.371750,0.628250
15,2.232878,0.189050,0.810950,1.996179,0.376250,0.623750
16,2.213090,0.199650,0.800350,1.969863,0.388500,0.611500
17,2.187570,0.212300,0.787700,1.989593,0.352500,0.647500
18,2.155639,0.227100,0.772900,1.959675,0.372750,0.627250
19,2.119775,0.245300,0.754700,1.955335,0.334000,0.666000
20,2.067904,0.268300,0.731700,1.972760,0.333750,0.666250
21,2.004121,0.291900,0.708100,1.998628,0.329750,0.670250
22,1.920626,0.328850,0.671150,2.004383,0.312250,0.687750
23,1.828057,0.362600,0.637400,2.102600,0.283750,0.716250
24,1.697929,0.412400,0.587600,2.142314,0.278500,0.721500
25,1.537822,0.471500,0.528500,2.270469,0.248000,0.752000
26,1.399924,0.520350,0.479650,2.348163,0.256750,0.743250
27,1.224005,0.583600,0.416400,2.464069,0.249750,0.750250
28,1.059379,0.640800,0.359200,2.589661,0.254250,0.745750
29,0.891262,0.697300,0.302700,2.680555,0.245750,0.754250
30,0.750521,0.747150,0.252850,2.938220,0.219250,0.780750
31,0.630024,0.788550,0.211450,2.986110,0.231250,0.768750
32,0.535564,0.817900,0.182100,3.152665,0.226250,0.773750
33,0.446876,0.850550,0.149450,3.192480,0.239000,0.761000
34,0.384362,0.871650,0.128350,3.389061,0.223750,0.776250
35,0.332847,0.887600,0.112400,3.442339,0.233750,0.766250
36,0.298067,0.899600,0.100400,3.665695,0.229250,0.770750
37,0.244541,0.918650,0.081350,3.599090,0.232500,0.767500
38,0.225262,0.925850,0.074150,3.742686,0.223000,0.777000
39,0.212613,0.928800,0.071200,3.879898,0.218500,0.781500
40,0.193140,0.934850,0.065150,3.839404,0.231750,0.768250
41,0.180404,0.940050,0.059950,3.895860,0.225500,0.774500
42,0.169091,0.942950,0.057050,3.937120,0.226250,0.773750
43,0.146686,0.951650,0.048350,4.094222,0.211750,0.788250
44,0.147815,0.948550,0.051450,4.088550,0.219500,0.780500
45,0.146967,0.951350,0.048650,4.134025,0.216500,0.783500
46,0.132294,0.956200,0.043800,4.218025,0.220500,0.779500
47,0.128642,0.955900,0.044100,4.345688,0.222250,0.777750
48,0.130981,0.957250,0.042750,4.212102,0.231500,0.768500
49,0.109746,0.962950,0.037050,4.308680,0.232250,0.767750
50,0.121737,0.958250,0.041750,4.348737,0.230250,0.769750
51,0.112916,0.963300,0.036700,4.498725,0.223750,0.776250
52,0.101772,0.965950,0.034050,4.510171,0.227250,0.772750
53,0.096191,0.967550,0.032450,4.575245,0.215000,0.785000
54,0.107670,0.963600,0.036400,4.534166,0.223250,0.776750
55,0.097153,0.968750,0.031250,4.497640,0.225250,0.774750
56,0.085183,0.972350,0.027650,4.500863,0.223500,0.776500
57,0.077357,0.975350,0.024650,4.690081,0.227500,0.772500
58,0.097783,0.967150,0.032850,4.648337,0.233750,0.766250
59,0.088027,0.969000,0.031000,4.817655,0.227500,0.772500
60,0.084707,0.970550,0.029450,4.783528,0.237000,0.763000
61,0.090249,0.968250,0.031750,4.750716,0.225250,0.774750
62,0.070945,0.976250,0.023750,4.683342,0.234250,0.765750
63,0.073360,0.974750,0.025250,4.695619,0.232250,0.767750
64,0.104774,0.964800,0.035200,4.737270,0.231000,0.769000
65,0.086276,0.972750,0.027250,4.749844,0.231000,0.769000
66,0.074748,0.975450,0.024550,4.708320,0.230500,0.769500
67,0.073477,0.975150,0.024850,4.954129,0.219250,0.780750
68,0.074208,0.975150,0.024850,4.837089,0.232500,0.767500
69,0.061725,0.979250,0.020750,4.881991,0.238000,0.762000
70,0.062034,0.979450,0.020550,5.061239,0.230750,0.769250
71,0.065842,0.977550,0.022450,5.012355,0.221250,0.778750
72,0.077078,0.974600,0.025400,5.032745,0.232500,0.767500
73,0.076920,0.976200,0.023800,4.842369,0.234000,0.766000
74,0.070769,0.976700,0.023300,5.014489,0.233000,0.767000
75,0.074580,0.975250,0.024750,5.034290,0.232500,0.767500
76,0.080770,0.972350,0.027650,5.164638,0.221000,0.779000
77,0.074726,0.975300,0.024700,5.170064,0.223500,0.776500
78,0.067797,0.975650,0.024350,5.094403,0.231750,0.768250
79,0.084907,0.972400,0.027600,5.115959,0.224250,0.775750
80,0.069842,0.977950,0.022050,4.944589,0.228500,0.771500
81,0.058554,0.980500,0.019500,5.215824,0.223500,0.776500
82,0.051484,0.983100,0.016900,5.148818,0.230000,0.770000
83,0.057154,0.980100,0.019900,5.181038,0.217500,0.782500
84,0.050299,0.983750,0.016250,5.252490,0.230500,0.769500
85,0.066438,0.977600,0.022400,5.231114,0.224500,0.775500
86,0.058776,0.980050,0.019950,5.061209,0.222750,0.777250
87,0.067204,0.978550,0.021450,5.204926,0.228000,0.772000
88,0.073226,0.975700,0.024300,5.110960,0.229750,0.770250
89,0.065127,0.978900,0.021100,5.295150,0.223000,0.777000
90,0.064454,0.979000,0.021000,5.240183,0.226750,0.773250
91,0.052652,0.982650,0.017350,5.333602,0.218250,0.781750
92,0.045995,0.984950,0.015050,5.324182,0.221500,0.778500
93,0.081576,0.973350,0.026650,5.133486,0.237250,0.762750
94,0.065279,0.978500,0.021500,5.385277,0.218500,0.781500
95,0.064849,0.978850,0.021150,5.209132,0.220000,0.780000
96,0.044884,0.985050,0.014950,5.358370,0.232250,0.767750
97,0.049819,0.983150,0.016850,5.391329,0.226250,0.773750
98,0.045047,0.985250,0.014750,5.339605,0.230000,0.770000
99,0.043715,0.985800,0.014200,5.504613,0.221750,0.778250
100,0.038174,0.987250,0.012750,5.559213,0.227750,0.772250
