epoch,train_loss,train_accuracy,train_error,test_loss,test_accuracy,test_error
1,2.592733,0.101500,0.898500,2.395663,0.105750,0.894250
2,2.371463,0.098950,0.901050,2.363445,0.097500,0.902500
3,2.361462,0.102250,0.897750,2.360309,0.096500,0.903500
4,2.347225,0.102400,0.897600,2.333080,0.101750,0.898250
5,2.358301,0.099550,0.900450,2.324536,0.101000,0.899000
6,2.344025,0.102550,0.897450,2.322574,0.095750,0.904250
7,2.340185,0.100800,0.899200,2.341979,0.053500,0.946500
8,2.335916,0.099300,0.900700,2.326991,0.098250,0.901750
9,2.326415,0.101750,0.898250,2.353684,0.124250,0.875750
10,2.333168,0.099600,0.900400,2.325236,0.093250,0.906750
