epoch,train_loss,train_accuracy,train_error,test_loss,test_accuracy,test_error
1,2.407114,0.213500,0.786500,1.763751,0.358000,0.642000
2,1.790475,0.363500,0.636500,1.489822,0.450500,0.549500
3,1.626202,0.434700,0.565300,1.347669,0.507750,0.492250
4,1.516404,0.489050,0.510950,1.326839,0.516500,0.483500
5,1.434467,0.528850,0.471150,1.138086,0.601500,0.398500
6,1.355167,0.562650,0.437350,1.143520,0.594750,0.405250
7,1.287509,0.589500,0.410500,1.112866,0.602500,0.397500
8,1.220210,0.617050,0.382950,0.984085,0.658000,0.342000
9,1.174422,0.636250,0.363750,0.981537,0.659500,0.340500
10,1.119067,0.652800,0.347200,0.968743,0.668000,0.332000
