epoch,train_loss,train_accuracy,train_error,test_loss,test_accuracy,test_error
1,2.648618,0.127650,0.872350,2.069117,0.224250,0.775750
2,2.240760,0.189150,0.810850,1.898274,0.328000,0.672000
3,2.196179,0.217000,0.783000,1.790848,0.392500,0.607500
4,2.151971,0.252200,0.747800,1.708365,0.407500,0.592500
5,2.125367,0.269550,0.730450,1.685392,0.440250,0.559750
6,2.089608,0.293300,0.706700,1.687536,0.472000,0.528000
7,2.068765,0.303000,0.697000,1.536092,0.503500,0.496500
8,2.043619,0.319150,0.680850,1.547033,0.527250,0.472750
9,2.014388,0.335500,0.664500,1.489814,0.540750,0.459250
10,1.983603,0.348750,0.651250,1.440268,0.566500,0.433500
11,1.945590,0.367750,0.632250,1.405549,0.579000,0.421000
12,1.918832,0.377900,0.622100,1.436202,0.572500,0.427500
13,1.884137,0.392350,0.607650,1.340371,0.600500,0.399500
14,1.832974,0.412050,0.587950,1.353250,0.608500,0.391500
15,1.791244,0.422550,0.577450,1.474283,0.543250,0.456750
16,1.746392,0.436250,0.563750,1.371045,0.585000,0.415000
17,1.668075,0.459900,0.540100,1.356726,0.578250,0.421750
18,1.601235,0.480750,0.519250,1.376633,0.561000,0.439000
19,1.508502,0.509900,0.490100,1.415992,0.547000,0.453000
20,1.417142,0.531600,0.468400,1.461556,0.542500,0.457500
21,1.309603,0.570050,0.429950,1.520579,0.516500,0.483500
22,1.173960,0.611100,0.388900,1.520852,0.515000,0.485000
23,1.058492,0.648850,0.351150,1.558567,0.494500,0.505500
24,0.936166,0.687800,0.312200,1.572482,0.505500,0.494500
25,0.806277,0.732950,0.267050,1.677130,0.498000,0.502000
26,0.688934,0.772150,0.227850,1.739359,0.479750,0.520250
27,0.584016,0.805800,0.194200,1.827963,0.472500,0.527500
28,0.497446,0.835350,0.164650,1.849791,0.503000,0.497000
29,0.430990,0.855350,0.144650,1.925085,0.477000,0.523000
30,0.375776,0.874000,0.126000,1.974365,0.482500,0.517500
31,0.325356,0.892950,0.107050,2.073726,0.470250,0.529750
32,0.300133,0.899400,0.100600,2.097305,0.474250,0.525750
33,0.253629,0.915650,0.084350,2.027255,0.478750,0.521250
34,0.228278,0.925650,0.074350,2.170537,0.490500,0.509500
35,0.213384,0.928200,0.071800,2.171677,0.473250,0.526750
36,0.174021,0.941200,0.058800,2.260364,0.478750,0.521250
37,0.167980,0.946100,0.053900,2.243740,0.484750,0.515250
38,0.153737,0.949000,0.051000,2.305034,0.480750,0.519250
39,0.154653,0.949800,0.050200,2.327681,0.483500,0.516500
40,0.137252,0.954450,0.045550,2.379476,0.484750,0.515250
41,0.130208,0.957800,0.042200,2.317848,0.487500,0.512500
42,0.102464,0.966200,0.033800,2.416136,0.495500,0.504500
43,0.106337,0.962750,0.037250,2.448735,0.472250,0.527750
