epoch,train_loss,train_accuracy,train_error,test_loss,test_accuracy,test_error
44,0.122408,0.959300,0.040700,2.547847,0.467750,0.532250
45,0.102794,0.966900,0.033100,2.455797,0.481250,0.518750
46,0.103004,0.965350,0.034650,2.534569,0.485250,0.514750
47,0.101011,0.966600,0.033400,2.432408,0.483750,0.516250
48,0.096496,0.968450,0.031550,2.642574,0.478250,0.521750
49,0.127165,0.957000,0.043000,2.589200,0.476250,0.523750
50,0.088928,0.970400,0.029600,2.571067,0.478750,0.521250
51,0.089216,0.970650,0.029350,2.595051,0.482750,0.517250
52,0.078236,0.974600,0.025400,2.597473,0.484250,0.515750
53,0.075731,0.974150,0.025850,2.651784,0.477750,0.522250
54,0.074823,0.974550,0.025450,2.726795,0.481250,0.518750
55,0.089867,0.969050,0.030950,2.631632,0.477500,0.522500
56,0.100013,0.966500,0.033500,2.623546,0.476250,0.523750
57,0.092480,0.970150,0.029850,2.697565,0.469250,0.530750
58,0.068431,0.977750,0.022250,2.770471,0.479500,0.520500
59,0.072213,0.975550,0.024450,2.649175,0.477250,0.522750
60,0.077118,0.974100,0.025900,2.787691,0.484000,0.516000
61,0.103498,0.964850,0.035150,2.753175,0.475250,0.524750
62,0.078900,0.973350,0.026650,2.693627,0.489750,0.510250
63,0.070053,0.976150,0.023850,2.725845,0.470500,0.529500
64,0.068219,0.976100,0.023900,2.720589,0.481250,0.518750
65,0.067234,0.976850,0.023150,2.720474,0.478750,0.521250
66,0.062501,0.979100,0.020900,2.920839,0.474000,0.526000
67,0.060930,0.979850,0.020150,2.809805,0.482250,0.517750
68,0.056188,0.980800,0.019200,2.899088,0.486250,0.513750
69,0.062590,0.979300,0.020700,3.044995,0.467750,0.532250
70,0.069584,0.977000,0.023000,2.824548,0.495250,0.504750
71,0.061478,0.978900,0.021100,2.902736,0.490250,0.509750
72,0.069117,0.976300,0.023700,2.876389,0.477000,0.523000
73,0.071431,0.975200,0.024800,2.916494,0.481000,0.519000
74,0.070646,0.976500,0.023500,2.875188,0.478500,0.521500
75,0.067907,0.977000,0.023000,2.913699,0.481250,0.518750
76,0.068394,0.977050,0.022950,2.807849,0.492250,0.507750
77,0.051060,0.982200,0.017800,2.909890,0.474500,0.525500
78,0.072658,0.975550,0.024450,2.907636,0.488250,0.511750
79,0.052926,0.981600,0.018400,2.982100,0.483250,0.516750
80,0.072626,0.974600,0.025400,2.977916,0.484750,0.515250
81,0.055405,0.981400,0.018600,2.913205,0.500500,0.499500
82,0.064691,0.979250,0.020750,2.994132,0.482750,0.517250
83,0.058854,0.980000,0.020000,2.940475,0.487250,0.512750
84,0.049982,0.983250,0.016750,2.927214,0.499000,0.501000
85,0.042421,0.985600,0.014400,3.103196,0.493500,0.506500
86,0.051489,0.982950,0.017050,3.034871,0.489500,0.510500
87,0.054420,0.982000,0.018000,2.995611,0.487250,0.512750
88,0.055206,0.980700,0.019300,2.993440,0.499250,0.500750
89,0.047511,0.983650,0.016350,3.095260,0.490750,0.509250
90,0.057502,0.979750,0.020250,3.093160,0.479750,0.520250
91,0.052499,0.982750,0.017250,3.100869,0.478000,0.522000
92,0.046189,0.984450,0.015550,3.036520,0.497250,0.502750
93,0.053492,0.982900,0.017100,3.155862,0.479250,0.520750
94,0.050394,0.984350,0.015650,3.117547,0.479500,0.520500
95,0.045714,0.984350,0.015650,3.067471,0.487500,0.512500
96,0.050478,0.982700,0.017300,3.115058,0.486500,0.513500
97,0.048603,0.984000,0.016000,3.157965,0.485750,0.514250
98,0.052398,0.984050,0.015950,3.158921,0.486750,0.513250
99,0.044672,0.983900,0.016100,3.174323,0.491250,0.508750
100,0.045568,0.985950,0.014050,3.158603,0.465000,0.535000
