epoch,train_loss,train_accuracy,train_error,test_loss,test_accuracy,test_error
1,2.581860,0.149100,0.850900,1.993942,0.246500,0.753500
2,2.163040,0.229000,0.771000,1.712745,0.397500,0.602500
3,2.087130,0.275900,0.724100,1.635299,0.428250,0.571750
4,2.033355,0.312400,0.687600,1.592116,0.449750,0.550250
5,1.996002,0.334000,0.666000,1.521339,0.491250,0.508750
6,1.953781,0.360500,0.639500,1.470550,0.534750,0.465250
7,1.918256,0.379200,0.620800,1.396692,0.559500,0.440500
8,1.879853,0.398350,0.601650,1.426788,0.529000,0.471000
9,1.851838,0.409600,0.590400,1.350429,0.564250,0.435750
10,1.824856,0.421350,0.578650,1.338602,0.581500,0.418500
