epoch,train_loss,train_accuracy,train_error,test_loss,test_accuracy,test_error
1,2.679780,0.096250,0.903750,2.331663,0.103000,0.897000
2,2.368749,0.103100,0.896900,2.411980,0.097000,0.903000
3,2.358785,0.102000,0.898000,2.390363,0.100750,0.899250
4,2.351062,0.099600,0.900400,2.335421,0.098000,0.902000
5,2.351459,0.101450,0.898550,2.348586,0.098750,0.901250
6,2.344107,0.100900,0.899100,2.341097,0.083250,0.916750
7,2.336459,0.099850,0.900150,2.322519,0.102000,0.898000
8,2.338770,0.101250,0.898750,2.386803,0.068500,0.931500
9,2.336078,0.104150,0.895850,2.322983,0.105750,0.894250
10,2.331356,0.102300,0.897700,2.332895,0.100500,0.899500
11,2.327669,0.102250,0.897750,2.322719,0.075500,0.924500
12,2.321442,0.101350,0.898650,2.322492,0.059250,0.940750
13,2.320715,0.102550,0.897450,2.323127,0.102750,0.897250
14,2.320549,0.102900,0.897100,2.320751,0.121500,0.878500
15,2.315872,0.107250,0.892750,2.341839,0.100250,0.899750
16,2.314913,0.105200,0.894800,2.323182,0.090000,0.910000
17,2.311859,0.105900,0.894100,2.336465,0.110250,0.889750
18,2.306608,0.110850,0.889150,2.322776,0.115500,0.884500
19,2.305872,0.112700,0.887300,2.334558,0.104000,0.896000
20,2.304390,0.115250,0.884750,2.314353,0.092750,0.907250
21,2.298615,0.119100,0.880900,2.315360,0.102500,0.897500
22,2.290144,0.129250,0.870750,2.327246,0.088250,0.911750
23,2.284239,0.136750,0.863250,2.332787,0.093000,0.907000
24,2.277541,0.142050,0.857950,2.334038,0.107500,0.892500
25,2.260841,0.155400,0.844600,2.359497,0.082250,0.917750
26,2.247144,0.164300,0.835700,2.357329,0.100250,0.899750
27,2.220932,0.179350,0.820650,2.390228,0.101000,0.899000
28,2.186169,0.200300,0.799700,2.415652,0.102250,0.897750
29,2.140208,0.223600,0.776400,2.453543,0.096750,0.903250
30,2.081010,0.255900,0.744100,2.469019,0.098750,0.901250
31,1.991411,0.290400,0.709600,2.600708,0.097500,0.902500
32,1.882101,0.337050,0.662950,2.706133,0.095250,0.904750
33,1.738153,0.388400,0.611600,2.818858,0.097500,0.902500
34,1.575045,0.450500,0.549500,2.973038,0.102750,0.897250
35,1.404998,0.512200,0.487800,3.143992,0.091250,0.908750
36,1.197663,0.590400,0.409600,3.401113,0.096750,0.903250
